response,horizon,shock,Acceptable if,variance_share
INF,1,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9999999999999999
INF,1,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,1,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,1,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,1,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,2,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9746223496693412
INF,2,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02041216036012346
INF,2,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0016350250089120554
INF,2,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.001866068301859352
INF,2,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0014643966597639286
INF,3,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.943279351484823
INF,3,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.034825145956618904
INF,3,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.002096882140994434
INF,3,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.017645503065601854
INF,3,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0021531173519618303
INF,4,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.932271910990197
INF,4,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.036141499021242064
INF,4,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.00208537711667914
INF,4,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02335883129518562
INF,4,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.006142381576696274
INF,5,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9235256147852636
INF,5,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03754546543926318
INF,5,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0032749433693500946
INF,5,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02357714169836473
INF,5,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.012076834707758506
INF,6,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9226966543436401
INF,6,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.037478187225789376
INF,6,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004048703836971813
INF,6,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.023740531844366263
INF,6,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.012035922749232436
INF,7,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9209254322949778
INF,7,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03740488541734501
INF,7,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004164249237434076
INF,7,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02400311085527948
INF,7,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.01350232219496365
INF,8,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9201540340048677
INF,8,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.037356710826009075
INF,8,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004447483482660467
INF,8,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.024113932891311078
INF,8,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.013927838795151741
INF,9,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9199930887498717
INF,9,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.037376283413634255
INF,9,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004567425576781713
INF,9,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.024148833624809428
INF,9,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.013914368634902904
INF,10,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9197036099215264
INF,10,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03735972459117465
INF,10,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004715807842587289
INF,10,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.024250365486368938
INF,10,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.013970492158342632
INF,11,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9193981465532289
INF,11,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03734590743490391
INF,11,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004877523769115673
INF,11,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02436016472895841
INF,11,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.014018257513793193
