response,horizon,shock,Acceptable if,variance_share
INF,1,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9999999999999999
INF,1,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,1,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,1,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,1,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
INF,3,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.943279351484823
INF,3,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.034825145956618904
INF,3,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.002096882140994434
INF,3,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.017645503065601854
INF,3,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0021531173519618303
INF,6,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9226966543436401
INF,6,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.037478187225789376
INF,6,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.004048703836971813
INF,6,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.023740531844366263
INF,6,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.012035922749232436
INF,12,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.919237765131892
INF,12,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03733698900817091
INF,12,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0049872607722358875
INF,12,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.024417326342063287
INF,12,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.01402065874563801
INF,24,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9180328049543076
INF,24,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03740637028184143
INF,24,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.005866346974627389
INF,24,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02468991095322046
INF,24,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.014004566836003412
D_FEDFUNDS,1,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.04929264595396495
D_FEDFUNDS,1,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9507073540460349
D_FEDFUNDS,1,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
D_FEDFUNDS,1,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
D_FEDFUNDS,1,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0
D_FEDFUNDS,3,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.05413067883208585
D_FEDFUNDS,3,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.9095600181599394
D_FEDFUNDS,3,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.02127207146940281
D_FEDFUNDS,3,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.012300298089727567
D_FEDFUNDS,3,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.0027369334488442595
D_FEDFUNDS,6,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.046515025537646394
D_FEDFUNDS,6,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.8997636979681376
D_FEDFUNDS,6,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03130442874343024
D_FEDFUNDS,6,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.019017099860706863
D_FEDFUNDS,6,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.003399747890078864
D_FEDFUNDS,12,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.04332578487405963
D_FEDFUNDS,12,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.8971083882900102
D_FEDFUNDS,12,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03664022386627409
D_FEDFUNDS,12,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.019225868754689172
D_FEDFUNDS,12,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.003699734214966721
D_FEDFUNDS,24,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.04309809330858407
D_FEDFUNDS,24,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.8954007203531145
D_FEDFUNDS,24,UNRATE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.03871778777069948
D_FEDFUNDS,24,INDPRO_GROWTH,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.019078825225179254
D_FEDFUNDS,24,SENTIMENT_CHANGE,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.003704573342422572
UNRATE,1,INF,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,0.014436684618204477
UNRATE,1,D_FEDFUNDS,variance shares closer to 1 indicate stronger contribution of the shock to forecast-error variance,7.085701205458398e-07
