test,Acceptable if,source,target,lag,p_value,significant_at_5pct
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INF,FEDFUNDS,4,0.10877958691645292,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",UNRATE,FEDFUNDS,4,0.15695980115944833,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INDPRO_GROWTH,FEDFUNDS,4,0.5795150893143393,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",M2_GROWTH,FEDFUNDS,4,0.526130098759044,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",SENTIMENT_CHANGE,FEDFUNDS,4,0.7129839950541143,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",FEDFUNDS,INF,4,0.002967895765752404,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",UNRATE,INF,4,0.9633648211708896,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INDPRO_GROWTH,INF,4,0.7398254359942075,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",M2_GROWTH,INF,4,0.060143535178342006,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",SENTIMENT_CHANGE,INF,4,0.16886155712714418,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",FEDFUNDS,UNRATE,4,2.296099004037552e-14,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INF,UNRATE,4,0.029564905663123857,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INDPRO_GROWTH,UNRATE,4,1.68114689571452e-06,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",M2_GROWTH,UNRATE,4,2.8813453018465003e-12,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",SENTIMENT_CHANGE,UNRATE,4,0.1628003336064412,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",FEDFUNDS,INDPRO_GROWTH,4,2.7704305733350904e-08,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INF,INDPRO_GROWTH,4,0.005177185196904773,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",UNRATE,INDPRO_GROWTH,4,1.2040699430939764e-07,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",M2_GROWTH,INDPRO_GROWTH,4,1.3221227470863833e-07,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",SENTIMENT_CHANGE,INDPRO_GROWTH,4,0.06127363473020292,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",FEDFUNDS,M2_GROWTH,4,1.1183490524215566e-07,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INF,M2_GROWTH,4,0.0007823680148617812,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",UNRATE,M2_GROWTH,4,6.061734211307798e-06,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INDPRO_GROWTH,M2_GROWTH,4,1.1178445817749746e-07,True
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",SENTIMENT_CHANGE,M2_GROWTH,4,0.6348346713743062,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",FEDFUNDS,SENTIMENT_CHANGE,4,0.34544086080309655,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INF,SENTIMENT_CHANGE,4,0.06309334768504028,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",UNRATE,SENTIMENT_CHANGE,4,0.14492607246167855,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",INDPRO_GROWTH,SENTIMENT_CHANGE,4,0.255007293575946,False
Pairwise Granger causality F-test,"p-value < 0.05 indicates predictive causality, not structural causality",M2_GROWTH,SENTIMENT_CHANGE,4,0.14725014257625785,False
