Acceptable if,response,shock,horizon,orthogonalized_response
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,0,0.12494766733380694
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,1,0.19205352488269756
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,2,0.23254912290026467
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,3,0.2707784940288872
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,4,0.29868022840845665
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,5,0.31502501147486967
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,6,0.3292229549974343
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,7,0.3405338976919738
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,8,0.34838231213445875
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,9,0.3517601430693811
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,10,0.35112196250846167
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,11,0.3478633147020132
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,12,0.3424559380151329
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,13,0.3351007949316195
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,14,0.32633271205523345
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,15,0.31640008952893084
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,16,0.3054605028853961
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,17,0.2937503496771661
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,18,0.28149545480252497
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,19,0.2688902587741397
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,20,0.2560980907230591
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,21,0.24325246827222516
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,22,0.23046663641231258
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,23,0.21783359239527414
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,FEDFUNDS,24,0.20543006461782345
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,1,-0.009382069212889328
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,2,-0.004040575487787253
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,3,-0.014138896432635085
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,4,-0.029983661461311564
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,5,-0.039400412328723974
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,6,-0.04389121466342986
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,7,-0.046510053379838476
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,8,-0.047752173900266606
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,9,-0.048284234393743686
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,10,-0.048337783705829786
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,11,-0.047675785105973645
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,12,-0.046225924485039274
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,13,-0.04421945079514144
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,14,-0.041794500046538785
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,15,-0.03905361030706774
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,16,-0.03614898441897169
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,17,-0.033151816875916534
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,18,-0.030089849608026915
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,19,-0.027005298250342234
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,20,-0.02394219703425586
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,21,-0.020939364988985902
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,22,-0.018027419057182588
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,23,-0.015230061069988036
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INF,24,-0.01256423299112157
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,1,0.011459971498050624
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,2,0.026016372740819808
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,3,0.033212128723851195
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,4,0.0364476151973118
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,5,0.03803205866295598
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,6,0.038361539419632246
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,7,0.033700176915378945
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,8,0.028471728794796786
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,9,0.02465102758161942
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,10,0.020241179761660025
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,11,0.015118787288073775
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,12,0.010021031312882058
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,13,0.004726870681860453
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,14,-0.0006989479936754765
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,15,-0.0059831969183330265
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,16,-0.0109989921613875
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,17,-0.015730395227672198
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,18,-0.02017238527683218
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,19,-0.024301255469138885
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,20,-0.02810380545506929
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,21,-0.031578776878065734
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,22,-0.034717719039220094
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,23,-0.037512503260188214
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,UNRATE,24,-0.03996812772374072
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,1,0.020977326293035937
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,2,0.035241122307270514
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,3,0.05613380426159957
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,4,0.07185227822310174
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,5,0.08035093352310556
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,6,0.08749970866310978
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,7,0.09459980928874925
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,8,0.10002001476901674
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,9,0.10419501715083954
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,10,0.10715717039344345
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,11,0.10900614009314993
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,12,0.10969295159677594
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,13,0.1095856762532724
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,14,0.10892202462449506
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,15,0.10773853038103726
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,16,0.10608163695644435
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,17,0.10403332678273974
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,18,0.10165804724531805
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,19,0.09899894998366437
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,20,0.09611951739180147
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,21,0.09309052122084685
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,22,0.0899494033305214
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,23,0.08672675719736891
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,INDPRO_GROWTH,24,0.08345743709316829
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,1,-0.011021155841990248
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,2,-0.01178021701714825
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,3,-0.008124021575901759
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,4,-0.01089693182567275
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,5,-0.01373014459397278
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,6,-0.01722291867031136
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,7,-0.02161829882698445
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,8,-0.025309828666421567
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,9,-0.02761623634029103
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,10,-0.029175268176075884
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,11,-0.03007145340558869
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,12,-0.030433325942223276
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,13,-0.030347209500952134
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,14,-0.029731782453258946
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,15,-0.028670981636119072
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,16,-0.027216205501278783
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,17,-0.025357208667893327
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,18,-0.023202749402033256
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,19,-0.020838550130277318
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,20,-0.01829610596490123
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,21,-0.015634048984159203
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,22,-0.012905176581925614
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,23,-0.010141175847415253
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,M2_GROWTH,24,-0.007377719738671841
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,1,0.007340435631956973
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,2,0.00740080253466486
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,3,0.004073314380166271
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,4,0.006900953158240162
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,5,0.010345691761320936
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,6,0.013242839791395854
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,7,0.016459096199957102
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,8,0.018126875328670272
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,9,0.01827866027416964
