lag,AIC,BIC,HQIC,FPE,Acceptable if
0,-2.0014727896518303,-1.9478308773341326,-1.9801503866634298,0.1351361189558449,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
1,-6.006913252114336,-5.68506177820815,-5.878978834183932,0.0024617120963039314,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
2,-6.218331279426994,-5.628270243932319,-5.983784846554586,0.0019927524137819124,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
3,-6.23229392983019,-5.3740233327470275,-5.8911354820157795,0.001965500902337172,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
4,-6.221880399343389,-5.095400240671738,-5.774109936586975,0.001986792562068676,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
5,-6.285055612703508,-4.890365892443368,-5.730673135005091,0.0018662448103608977,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
6,-6.2617402953811725,-4.598841013532545,-5.600745802740752,0.0019119051299095965,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
7,-6.250718673840589,-4.319609830403474,-5.483112166258165,0.0019353869834139359,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
8,-6.196508510586696,-3.9971901055610917,-5.322289988062268,0.0020464096070820113,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
9,-6.142787955379074,-3.6752599887649815,-5.161957417912643,0.002163693258711977,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
10,-6.126492393893026,-3.390754865690445,-5.039049841484593,0.0022047588492143844,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
11,-6.094409645174018,-3.090462555382949,-4.900355077823581,0.0022836196980918844,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
12,-6.123345249847721,-2.8511885984681635,-4.82267866755528,0.0022266571993221924,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
