test,Acceptable if,equation,parameter,coefficient,std_error,t_stat,p_value,lower_95,upper_95,significant_at_5pct
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INF,const,0.1531943082963167,0.049371397465827783,3.102895930834235,0.0019163701654497987,0.05642636926329424,0.24996224732933914,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,D_FEDFUNDS,const,-0.007796554986178477,0.025895474214727467,-0.3010778996178553,0.7633550931425048,-0.05855168444704431,0.04295857447468736,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,UNRATE,const,0.2747438885737045,0.10539215413782287,2.6068723124723108,0.009137342704569175,0.0681752664635717,0.48131251068383735,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INDPRO_GROWTH,const,-0.665084524534201,0.1941957012243307,-3.4248158962381443,0.0006152161621560693,-1.0457080989338892,-0.28446095013451284,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,SENTIMENT_CHANGE,const,-0.3494497551520315,0.8065441689721109,-0.4332679704291743,0.6648201043148151,-1.9302763263373688,1.2313768160333058,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INF,L1.INF,0.5173798144723403,0.05551311357086218,9.319956694771008,1.1638779543683736e-20,0.4085741118734504,0.6261855170712302,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,D_FEDFUNDS,L1.INF,-0.009247399630554164,0.029116826236253196,-0.31759641505983505,0.7507910938244152,-0.06631637905361043,0.047821579792502095,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,UNRATE,L1.INF,-0.18750427486021692,0.11850275508568042,-1.582277768349324,0.11358617362238625,-0.41976967482815053,0.04476112510771671,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INDPRO_GROWTH,L1.INF,0.7549012203244315,0.2183533092110894,3.4572465288109897,0.0005457253567649642,0.3269287342706963,1.1828737063781667,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,SENTIMENT_CHANGE,L1.INF,-2.3234951017318584,0.9068768629256533,-2.5620844424634317,0.01040460177461352,-4.100973753066139,-0.546016450397578,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INF,L1.D_FEDFUNDS,0.2913860938852392,0.10723840636222935,2.7171803812618838,0.006584071345298127,0.08119881741526966,0.5015733703552087,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,D_FEDFUNDS,L1.D_FEDFUNDS,0.54971500322141,0.056246926952060815,9.773245099948863,1.4667714059492497e-22,0.4394710263953708,0.6599589800474491,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,UNRATE,L1.D_FEDFUNDS,-1.6289881536365627,0.2289197234217495,-7.115979913340197,1.1112047903062879e-12,-2.0776708115431917,-1.1803054957299337,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INDPRO_GROWTH,L1.D_FEDFUNDS,1.8975941187113243,0.42180773870350663,4.498718123436717,6.83644302272921e-06,1.0708509508524513,2.724337286570197,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,SENTIMENT_CHANGE,L1.D_FEDFUNDS,0.6879011773183187,1.7518748866929126,0.3926656992137712,0.6945664079462806,-2.7457736005997897,4.121575955236427,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INF,L1.UNRATE,0.053428341464208974,0.03684687522372849,1.4500101064147342,0.14705570095368445,-0.018791533974298856,0.1256482169027168,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,D_FEDFUNDS,L1.UNRATE,0.0656127975468992,0.019326317589243133,3.394997378259929,0.0006862925775581767,0.027733215071982655,0.10349238002181574,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,UNRATE,L1.UNRATE,0.6944127942655383,0.07865630207782105,8.82844445926913,1.0614152743362983e-18,0.540246442193009,0.8485791463380675,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INDPRO_GROWTH,L1.UNRATE,0.3517930347635745,0.1449321902818332,2.4272939923110415,0.01521192331815034,0.06772594181118141,0.6358601277159676,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,SENTIMENT_CHANGE,L1.UNRATE,0.3222139192956979,0.6019402707227558,0.5352921792536199,0.592447833492743,-0.8575890113209035,1.5020168499122992,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INF,L1.INDPRO_GROWTH,0.019282349232353488,0.019307529866473952,0.9986958127583069,0.31794206969542016,-0.018560409305935457,0.05712510777064243,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,D_FEDFUNDS,L1.INDPRO_GROWTH,0.025303875365134735,0.010126868338159034,2.4986871084111213,0.012465431770716974,0.005455213422343029,0.04515253730792644,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,UNRATE,L1.INDPRO_GROWTH,-0.1991633625862221,0.041215405440294915,-4.832255329253823,1.3499496639252893e-06,-0.2799455572492001,-0.11838116792324407,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INDPRO_GROWTH,L1.INDPRO_GROWTH,0.22318897971292465,0.07594355221410892,2.93887990758826,0.003294006812236473,0.07433961737327116,0.37203834205257813,True
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,SENTIMENT_CHANGE,L1.INDPRO_GROWTH,0.4575095772320819,0.3154128995809325,1.4505100388726762,0.14691634178820173,-0.16069970594654576,1.0757188604107095,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,INF,L1.SENTIMENT_CHANGE,0.002854622647875174,0.0034013406979139476,0.83926395542379,0.40132120517159486,-0.0038120051200361636,0.009521250415786511,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,D_FEDFUNDS,L1.SENTIMENT_CHANGE,0.0020637275800738986,0.0017840153380162575,1.1567880253589458,0.2473589753836838,-0.0014329424824379659,0.005560397642585763,False
Classical t-test,p-value < 0.05 indicates statistical significance; individual VAR coefficients require cautious interpretation,UNRATE,L1.SENTIMENT_CHANGE,-0.008442853576959541,0.0072607752972338605,-1.1628033138797198,0.24490931233192437,-0.022673973159537907,0.005788266005618825,False
