test,Acceptable if,equation,parameter,coefficient,classical_std_error,classical_p_value,hc3_std_error,hc3_p_value,hac_newey_west_std_error,hac_newey_west_p_value,classical_significant_at_5pct,hc3_significant_at_5pct,hac_significant_at_5pct,significance_changed_hc3,significance_changed_hac
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,const,0.15319430829631653,0.049371397465827895,0.0020722757578414686,0.05775058529208909,0.008349080946697342,0.0510638658617676,0.0028927913523386917,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.INF,0.5173798144723407,0.05551311357086216,1.340441428067409e-18,0.08851883370537383,1.1616204039460168e-08,0.06475774772983393,1.9803592696344196e-14,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.D_FEDFUNDS,0.2913860938852397,0.10723840636222955,0.006911351202385475,0.17748951066052734,0.10154855483122953,0.13842829190116776,0.03600710775847585,True,False,True,True,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.UNRATE,0.053428341464208814,0.03684687522372817,0.14795119721431596,0.10945508351198517,0.6257632148194822,0.045997708613724465,0.24621244252730576,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.INDPRO_GROWTH,0.019282349232353467,0.019307529866473792,0.3186320194128105,0.04114113677750833,0.6395845787599531,0.02359498755280411,0.41435735123161327,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.SENTIMENT_CHANGE,0.0028546226478751765,0.0034013406979139507,0.40189406784202386,0.004651068827225629,0.53977508676668,0.002982856082183307,0.33922284776452427,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.INF,-0.18400268426017924,0.06281210255142097,0.0036187066341061957,0.08746419737867518,0.036113477227815466,0.07150705822751668,0.0104871975810386,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.D_FEDFUNDS,-0.03001394579478013,0.12717049305260253,0.8135602882791653,0.1341339040287402,0.8230737751881216,0.11117099764376911,0.7873347544465662,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.UNRATE,-0.00025301080131617977,0.047839176601289064,0.9957831982134966,0.1295971226400151,0.9984434134350144,0.03045822042993245,0.9933769294781761,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.INDPRO_GROWTH,0.04338020961023206,0.01981741433169854,0.029257356792908345,0.04334722529121292,0.3176337772345509,0.0370673431559727,0.24267327653536405,True,False,False,True,True
