lag,AIC,BIC,HQIC,FPE,Acceptable if
0,-3.2519414209687163,-3.0373737716979257,-3.166651809015114,0.038699273514360095,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
1,-6.657127074602639,-6.270905305915216,-6.5036057730861545,0.001284884539137599,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
2,-6.859857542375693,-6.301981654271637,-6.638104551296326,0.001049191969255777,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
3,-6.935561651434426,-6.206031643913739,-6.6455769707921775,0.000972843444842404,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
4,-7.000056821725707,-6.098872694788387,-6.641840451520576,0.0009123020049021074,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
5,-6.9873930604597065,-5.914554814105753,-6.560945000691693,0.0009242578459185557,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
6,-6.969826874306859,-5.725334508536274,-6.475147124975964,0.0009410992562936146,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
7,-6.9480579356048695,-5.531911450417652,-6.3851464967110925,0.0009624346062183648,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
8,-6.934140714684734,-5.346340110080884,-6.3029975862280745,0.0009767312222245352,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
9,-6.918049601622182,-5.158594877601699,-6.218674783602641,0.000993598318444918,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
10,-6.974699316847334,-5.0435904734102195,-6.2070928092649105,0.0009400554570850554,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
11,-7.0025738391614185,-4.89981087630767,-6.166735642016112,0.0009155897245782612,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
12,-6.979049238842748,-4.704632156572368,-6.0749793521345605,0.0009390503448078409,Lower AIC/BIC/HQIC/FPE is preferred; selected lag must preserve degrees of freedom
