test,Acceptable if,equation,parameter,coefficient,classical_std_error,classical_p_value,hc3_std_error,hc3_p_value,hac_newey_west_std_error,hac_newey_west_p_value,classical_significant_at_5pct,hc3_significant_at_5pct,hac_significant_at_5pct,significance_changed_hc3,significance_changed_hac
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,const,0.13693417648898482,0.07620710396407093,0.07321358400096314,0.09834948595954571,0.16470377835982075,0.08831469298400506,0.121914050108447,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.INF,0.531497060306207,0.05421143146553879,3.1925502299584696e-20,0.10690041474369837,1.0378594238321115e-06,0.09309331340690125,2.4131011189660937e-08,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.UNRATE,0.03346521957108194,0.03725475046703995,0.3696499927509955,0.10546506381466535,0.7511957982510845,0.04991881305534352,0.5030469239926877,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.INDPRO_GROWTH,0.018078865796781078,0.019955284192044197,0.36557205551124,0.046260799494082565,0.6961791713573833,0.02442052986514495,0.4596028479944817,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L1.M2_GROWTH,-0.04820231277087402,0.03679943682798082,0.1910955423276778,0.05517725152511099,0.38293697973629015,0.04472028812322277,0.2818333053060975,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.INF,-0.2091962524955462,0.06170111494936495,0.0007769049626117504,0.09577442048845386,0.02960248567865017,0.08074318890276953,0.009971092789446374,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.UNRATE,0.013848493398422923,0.04486649468941568,0.7577627482613805,0.12475583857135464,0.9116758280821495,0.037581689739216335,0.7127290863915008,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.INDPRO_GROWTH,0.04926604281533824,0.02047735724993796,0.016648638300888013,0.05231018404301159,0.34693789600732494,0.04198710631464022,0.2414443226004032,True,False,False,True,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L2.M2_GROWTH,0.10905295677305195,0.03869775101261142,0.005104242445342615,0.046753278510260975,0.02023648878349257,0.04590761724174033,0.0180607173845063,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INF,L3.INF,0.07612124902976738,0.06127904976205008,0.21498725191726467,0.08240122437922467,0.3562295981214213,0.076303219896213,0.31915129531408126,False,False,False,False,False
