response,horizon,shock,variance_share
FEDFUNDS,1,FEDFUNDS,1.0
FEDFUNDS,1,INF,0.0
FEDFUNDS,1,UNRATE,0.0
FEDFUNDS,1,INDPRO_GROWTH,0.0
FEDFUNDS,1,M2_GROWTH,0.0
FEDFUNDS,3,FEDFUNDS,0.9746514922061615
FEDFUNDS,3,INF,0.0011595128268586034
FEDFUNDS,3,UNRATE,0.007457345602765568
FEDFUNDS,3,INDPRO_GROWTH,0.014013225517184367
FEDFUNDS,3,M2_GROWTH,0.0027184238470297968
FEDFUNDS,6,FEDFUNDS,0.9379817271961297
FEDFUNDS,6,INF,0.007740117017130354
FEDFUNDS,6,UNRATE,0.012150298742378373
FEDFUNDS,6,INDPRO_GROWTH,0.04024010542985387
FEDFUNDS,6,M2_GROWTH,0.001887751614507665
FEDFUNDS,12,FEDFUNDS,0.9087795734518449
FEDFUNDS,12,INF,0.014192965397997689
FEDFUNDS,12,UNRATE,0.008180650060356693
FEDFUNDS,12,INDPRO_GROWTH,0.06458132199819541
FEDFUNDS,12,M2_GROWTH,0.004265489091605298
FEDFUNDS,24,FEDFUNDS,0.8885807118190587
FEDFUNDS,24,INF,0.012644005054034138
FEDFUNDS,24,UNRATE,0.006715138624675508
FEDFUNDS,24,INDPRO_GROWTH,0.08651214366253822
FEDFUNDS,24,M2_GROWTH,0.0055480008396932255
INF,1,FEDFUNDS,0.04347592440812341
INF,1,INF,0.9565240755918768
INF,1,UNRATE,0.0
INF,1,INDPRO_GROWTH,0.0
INF,1,M2_GROWTH,0.0
INF,3,FEDFUNDS,0.1076506950664194
INF,3,INF,0.8657654958709748
INF,3,UNRATE,0.0006693515871190378
INF,3,INDPRO_GROWTH,0.01781863543359129
INF,3,M2_GROWTH,0.008095822041895684
INF,6,FEDFUNDS,0.11233514174698861
INF,6,INF,0.8453440124249327
INF,6,UNRATE,0.0011242606638164534
INF,6,INDPRO_GROWTH,0.024589426906821123
INF,6,M2_GROWTH,0.0166071582574413
INF,12,FEDFUNDS,0.11479469967909019
INF,12,INF,0.8412209863790054
INF,12,UNRATE,0.001748633376595766
INF,12,INDPRO_GROWTH,0.024937416535422093
INF,12,M2_GROWTH,0.0172982640298865
INF,24,FEDFUNDS,0.1224418190165342
INF,24,INF,0.8327831102769869
INF,24,UNRATE,0.0018225550244272348
INF,24,INDPRO_GROWTH,0.025700030355126025
INF,24,M2_GROWTH,0.017252485326925308
UNRATE,1,FEDFUNDS,0.0009273218009672466
UNRATE,1,INF,0.01508626604480522
UNRATE,1,UNRATE,0.9839864121542276
UNRATE,1,INDPRO_GROWTH,0.0
UNRATE,1,M2_GROWTH,0.0
UNRATE,3,FEDFUNDS,0.16403591083439037
UNRATE,3,INF,0.032419922838432105
UNRATE,3,UNRATE,0.7498078452603221
UNRATE,3,INDPRO_GROWTH,0.029507144805900883
UNRATE,3,M2_GROWTH,0.024229176260954492
UNRATE,6,FEDFUNDS,0.21856978317029904
UNRATE,6,INF,0.04573590185813973
UNRATE,6,UNRATE,0.6504282448194173
UNRATE,6,INDPRO_GROWTH,0.06364965837513513
UNRATE,6,M2_GROWTH,0.021616411777008668
UNRATE,12,FEDFUNDS,0.26023393518137056
UNRATE,12,INF,0.045527606761706044
UNRATE,12,UNRATE,0.5608017422272426
UNRATE,12,INDPRO_GROWTH,0.08734471123494866
UNRATE,12,M2_GROWTH,0.04609200459473197
UNRATE,24,FEDFUNDS,0.2844490044893776
UNRATE,24,INF,0.04180801105087091
UNRATE,24,UNRATE,0.49160211045278396
UNRATE,24,INDPRO_GROWTH,0.1051270918197358
UNRATE,24,M2_GROWTH,0.07701378218723155
INDPRO_GROWTH,1,FEDFUNDS,0.020078354233226486
INDPRO_GROWTH,1,INF,0.0030318769071637102
INDPRO_GROWTH,1,UNRATE,0.4927221576414108
INDPRO_GROWTH,1,INDPRO_GROWTH,0.484167611218199
INDPRO_GROWTH,1,M2_GROWTH,0.0
INDPRO_GROWTH,3,FEDFUNDS,0.13251681588447564
INDPRO_GROWTH,3,INF,0.022909584334238176
INDPRO_GROWTH,3,UNRATE,0.44355416778309725
INDPRO_GROWTH,3,INDPRO_GROWTH,0.36745528564558433
INDPRO_GROWTH,3,M2_GROWTH,0.03356414635260459
INDPRO_GROWTH,6,FEDFUNDS,0.12510865969667612
INDPRO_GROWTH,6,INF,0.021570443378811057
INDPRO_GROWTH,6,UNRATE,0.4492615770998019
INDPRO_GROWTH,6,INDPRO_GROWTH,0.345429642598583
INDPRO_GROWTH,6,M2_GROWTH,0.05862967722612783
INDPRO_GROWTH,12,FEDFUNDS,0.12442089501106728
INDPRO_GROWTH,12,INF,0.022434580450280912
INDPRO_GROWTH,12,UNRATE,0.45157285101228584
INDPRO_GROWTH,12,INDPRO_GROWTH,0.34265435680736595
INDPRO_GROWTH,12,M2_GROWTH,0.058917316718999926
INDPRO_GROWTH,24,FEDFUNDS,0.12567149519293824
INDPRO_GROWTH,24,INF,0.022833457511033727
INDPRO_GROWTH,24,UNRATE,0.45120060558777525
INDPRO_GROWTH,24,INDPRO_GROWTH,0.34029795701844373
INDPRO_GROWTH,24,M2_GROWTH,0.0599964846898088
M2_GROWTH,1,FEDFUNDS,0.07360449706153553
M2_GROWTH,1,INF,0.008491874024102087
M2_GROWTH,1,UNRATE,0.22510378160826944
M2_GROWTH,1,INDPRO_GROWTH,0.012793574173902426
M2_GROWTH,1,M2_GROWTH,0.6800062731321905
M2_GROWTH,3,FEDFUNDS,0.23939644378317262
M2_GROWTH,3,INF,0.04970592904648542
M2_GROWTH,3,UNRATE,0.21251979664135395
M2_GROWTH,3,INDPRO_GROWTH,0.03582599991050269
M2_GROWTH,3,M2_GROWTH,0.46255183061848526
M2_GROWTH,6,FEDFUNDS,0.24602738381921652
M2_GROWTH,6,INF,0.04625973008811551
M2_GROWTH,6,UNRATE,0.20147165216996044
M2_GROWTH,6,INDPRO_GROWTH,0.04954092309317434
M2_GROWTH,6,M2_GROWTH,0.4567003108295333
M2_GROWTH,12,FEDFUNDS,0.2508144404402781
M2_GROWTH,12,INF,0.044430470854487765
M2_GROWTH,12,UNRATE,0.19462009145596726
M2_GROWTH,12,INDPRO_GROWTH,0.04901979397533812
M2_GROWTH,12,M2_GROWTH,0.4611152032739288
M2_GROWTH,24,FEDFUNDS,0.2510157890175141
M2_GROWTH,24,INF,0.04422886376072589
M2_GROWTH,24,UNRATE,0.19406591157304942
M2_GROWTH,24,INDPRO_GROWTH,0.04899383786937386
M2_GROWTH,24,M2_GROWTH,0.4616955977793369
