lag,AIC,BIC
0,-2.2603232524578285,-2.0984022511474056
1,-10.250935316204673,-9.819145979376877
2,-11.053407334506499,-10.351749662161332
3,-11.19669963682416,-10.22517362896162
4,-11.289750580170328,-10.048356236790417
5,-11.234124943127231,-9.72286226422995
6,-11.22621339855018,-9.445082384135526
7,-11.204038894921537,-9.15303954498951
8,-11.21330493340496,-8.892437247955561
9,-11.194858619732454,-8.604122598765684
10,-11.244433272671081,-8.383828916186939
11,-11.23208269293613,-8.101610000934615
12,-11.197547356065229,-7.797206328546343
13,-11.192085594705015,-7.521876231668757
14,-11.156054588547956,-7.2159768899943275
15,-11.114668761633169,-6.9047227275621665
