response,horizon,shock,variance_share,test,Acceptable if
INF,1,INF,1.0000000000000002,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,1,D_FEDFUNDS,0.0,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,1,UNRATE,0.0,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,1,INDPRO_GROWTH,0.0,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,1,SENTIMENT_CHANGE,0.0,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,6,INF,0.914866710429284,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,6,D_FEDFUNDS,0.0398345290155429,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,6,UNRATE,0.005623113001369476,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,6,INDPRO_GROWTH,0.0284411869012523,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,6,SENTIMENT_CHANGE,0.011234460652551763,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,12,INF,0.9119966604671849,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,12,D_FEDFUNDS,0.03969677732273157,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,12,UNRATE,0.006151572923350718,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,12,INDPRO_GROWTH,0.029228129640838374,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,12,SENTIMENT_CHANGE,0.012926859645894904,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,24,INF,0.9111205745246531,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,24,D_FEDFUNDS,0.039831808366287594,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,24,UNRATE,0.006668371942679421,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,24,INDPRO_GROWTH,0.029467216605113165,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
INF,24,SENTIMENT_CHANGE,0.012912028561267032,Forecast-error variance decomposition for D_FEDFUNDS robustness VAR,larger variance shares indicate larger contribution to inflation forecast-error variance under this identification
