response,shock,horizon,value,test,Acceptable if
INF,D_FEDFUNDS,0,0.0,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
INF,D_FEDFUNDS,1,0.0427600785391904,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
INF,D_FEDFUNDS,3,-0.01142233297913956,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
INF,D_FEDFUNDS,6,0.00231437894740388,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
INF,D_FEDFUNDS,12,0.00027137924145169954,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
INF,D_FEDFUNDS,24,0.0012898398888999034,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
D_FEDFUNDS,D_FEDFUNDS,0,0.12824542303905506,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
D_FEDFUNDS,D_FEDFUNDS,1,0.07337539295859072,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
D_FEDFUNDS,D_FEDFUNDS,3,0.04103934005609147,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
D_FEDFUNDS,D_FEDFUNDS,6,0.026061191130448972,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
D_FEDFUNDS,D_FEDFUNDS,12,0.011147840141934106,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
D_FEDFUNDS,D_FEDFUNDS,24,0.001517542201822662,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
UNRATE,D_FEDFUNDS,0,-0.003297404958980267,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
UNRATE,D_FEDFUNDS,1,-0.24585723701232412,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
UNRATE,D_FEDFUNDS,3,-0.174798738831718,Orthogonalized VAR response to D_FEDFUNDS policy-rate-change shock,responses are economically interpretable and robust to stationarity treatment; Cholesky identification caveats still apply
