response,horizon,shock,variance_share
INF,1,INF,0.9999999999999998
INF,1,FEDFUNDS,0.0
INF,1,UNRATE,0.0
INF,1,INDPRO_GROWTH,0.0
INF,1,SENTIMENT_CHANGE,0.0
INF,6,INF,0.9105143187281418
INF,6,FEDFUNDS,0.03873562237445665
INF,6,INDPRO_GROWTH,0.03390133001692078
INF,6,SENTIMENT_CHANGE,0.013068868220881226
INF,6,UNRATE,0.0037798606595992462
INF,12,INF,0.9053454041599476
INF,12,FEDFUNDS,0.03841958165892498
INF,12,INDPRO_GROWTH,0.03600905548230665
INF,12,SENTIMENT_CHANGE,0.0154416493817775
INF,12,UNRATE,0.004784309317043112
INF,24,INF,0.9049306785209992
INF,24,FEDFUNDS,0.03844561342849559
INF,24,INDPRO_GROWTH,0.036147387744832025
INF,24,SENTIMENT_CHANGE,0.015518671077303406
INF,24,UNRATE,0.004957649228369342
