response,horizon,shock,variance_share
INF,1,INF,0.9999999999999998
INF,1,FEDFUNDS,0.0
INF,1,UNRATE,0.0
INF,1,INDPRO_GROWTH,0.0
INF,1,SENTIMENT_CHANGE,0.0
INF,2,INF,0.9732561995106769
INF,2,FEDFUNDS,0.021340389097970702
INF,2,UNRATE,0.0022007435713506515
INF,2,INDPRO_GROWTH,0.0031789246758973442
INF,2,SENTIMENT_CHANGE,2.3743144104197026e-05
INF,3,INF,0.9333688888001909
INF,3,FEDFUNDS,0.03647618754624922
INF,3,UNRATE,0.0029767876863419805
INF,3,INDPRO_GROWTH,0.026778298287401168
INF,3,SENTIMENT_CHANGE,0.000399837679816596
INF,4,INF,0.9177836473930198
INF,4,FEDFUNDS,0.0369649631012971
INF,4,UNRATE,0.002980848336281994
INF,4,INDPRO_GROWTH,0.03457918378008363
INF,4,SENTIMENT_CHANGE,0.007691357389317217
INF,5,INF,0.9111281123371857
INF,5,FEDFUNDS,0.03884486255518492
INF,5,UNRATE,0.0029350507339482397
INF,5,INDPRO_GROWTH,0.03400502757982026
INF,5,SENTIMENT_CHANGE,0.013086946793860514
INF,6,INF,0.9105143187281418
INF,6,FEDFUNDS,0.03873562237445665
INF,6,UNRATE,0.0037798606595992462
INF,6,INDPRO_GROWTH,0.03390133001692078
INF,6,SENTIMENT_CHANGE,0.013068868220881226
INF,7,INF,0.9085017575618854
INF,7,FEDFUNDS,0.038634796289644203
INF,7,UNRATE,0.003770814425414577
INF,7,INDPRO_GROWTH,0.0345138292551395
INF,7,SENTIMENT_CHANGE,0.01457880246791591
INF,8,INF,0.9062985912210626
INF,8,FEDFUNDS,0.038519957986762575
INF,8,UNRATE,0.004480395070939481
INF,8,INDPRO_GROWTH,0.03556894747732192
INF,8,SENTIMENT_CHANGE,0.01513210824391315
INF,9,INF,0.9058770280733385
INF,9,FEDFUNDS,0.038470307996017694
INF,9,UNRATE,0.004712686512824943
INF,9,INDPRO_GROWTH,0.035740649869108986
INF,9,SENTIMENT_CHANGE,0.015199327548709667
INF,10,INF,0.9058877326492144
INF,10,FEDFUNDS,0.03844697202781607
INF,10,UNRATE,0.004713272330908368
