response,shock,horizon,value
FEDFUNDS,FEDFUNDS,1,0.19594748008519092
FEDFUNDS,FEDFUNDS,3,0.2708358510134894
FEDFUNDS,FEDFUNDS,6,0.3473854549392697
FEDFUNDS,FEDFUNDS,12,0.4002914613626213
FEDFUNDS,FEDFUNDS,24,0.3200328048306125
INDPRO_GROWTH,FEDFUNDS,1,0.3251722758269624
INDPRO_GROWTH,FEDFUNDS,3,-0.07048163240090953
INDPRO_GROWTH,FEDFUNDS,6,0.05895927333470275
INDPRO_GROWTH,FEDFUNDS,12,0.012123694845323458
INDPRO_GROWTH,FEDFUNDS,24,0.00037196332257387614
INF,FEDFUNDS,1,0.04238859896660512
INF,FEDFUNDS,3,-0.01005840884839154
INF,FEDFUNDS,6,0.0005632132675479402
INF,FEDFUNDS,12,-0.00018996190616523776
INF,FEDFUNDS,24,0.0008460791496426631
SENTIMENT_CHANGE,FEDFUNDS,1,0.14240031857554764
SENTIMENT_CHANGE,FEDFUNDS,3,-0.027640255849022247
SENTIMENT_CHANGE,FEDFUNDS,6,-0.12401079497233151
SENTIMENT_CHANGE,FEDFUNDS,12,-0.01967301845789041
SENTIMENT_CHANGE,FEDFUNDS,24,-0.03939644375014536
UNRATE,FEDFUNDS,1,-0.2545802043391187
UNRATE,FEDFUNDS,3,-0.17148534959151168
UNRATE,FEDFUNDS,6,-0.17879643138809845
UNRATE,FEDFUNDS,12,-0.18869595976686362
UNRATE,FEDFUNDS,24,-0.12486968808579336
