response,shock,horizon,value
INF,INF,0,0.2526431195696558
INF,INF,1,0.1345977357082911
INF,INF,2,0.025199559135754696
INF,INF,3,0.007702604036595183
INF,INF,4,0.028763908137613304
INF,INF,5,0.015072402900419635
INF,INF,6,0.006356173476361981
INF,INF,7,0.007540646487591742
INF,INF,8,0.008949356750405067
INF,INF,9,0.007226069194346258
INF,INF,10,0.0046586731770393
INF,INF,11,0.0019895783783944795
INF,INF,12,0.0002820518826043327
INF,INF,13,0.0002174114567177131
INF,INF,14,0.000814120767191823
INF,INF,15,0.001233524974472413
INF,INF,16,0.001387518502247993
INF,INF,17,0.0012381791167261473
INF,INF,18,0.0009045387054012014
INF,INF,19,0.0005612484545911475
INF,INF,20,0.0003790481905435012
INF,INF,21,0.0004023389571837264
INF,INF,22,0.0005335019873164025
INF,INF,23,0.0006082864860750348
INF,INF,24,0.0005979339712160341
INF,FEDFUNDS,0,0.0
INF,FEDFUNDS,1,0.04238859896660512
INF,FEDFUNDS,2,0.03782127919597525
INF,FEDFUNDS,3,-0.01005840884839154
INF,FEDFUNDS,4,-0.015168845674713978
INF,FEDFUNDS,5,-0.001431613831167492
INF,FEDFUNDS,6,0.0005632132675479402
INF,FEDFUNDS,7,-0.0006804127550241982
INF,FEDFUNDS,8,0.000682706864905465
INF,FEDFUNDS,9,-0.00011606626773032899
INF,FEDFUNDS,10,-0.0007951278311108206
INF,FEDFUNDS,11,-0.00022663846516575648
INF,FEDFUNDS,12,-0.00018996190616523776
INF,FEDFUNDS,13,-0.0004867347273397033
INF,FEDFUNDS,14,-0.0005158827820399716
INF,FEDFUNDS,15,9.129177377563241e-05
INF,FEDFUNDS,16,0.0007178115276212107
INF,FEDFUNDS,17,0.0007905722596485367
INF,FEDFUNDS,18,0.0006230968270448384
INF,FEDFUNDS,19,0.0005904540699829494
INF,FEDFUNDS,20,0.0006370512234682984
INF,FEDFUNDS,21,0.0006621516234457911
INF,FEDFUNDS,22,0.0007052272963637841
INF,FEDFUNDS,23,0.0007844922307748474
INF,FEDFUNDS,24,0.0008460791496426631
INF,UNRATE,0,0.0
INF,UNRATE,1,0.013612334624836898
INF,UNRATE,2,0.00883609635062937
INF,UNRATE,3,-0.0022428757920735405
INF,UNRATE,4,0.0006870015180166789
INF,UNRATE,5,0.00886386105930221
INF,UNRATE,6,-0.0003224812199170233
INF,UNRATE,7,-0.008166104759204795
INF,UNRATE,8,-0.004700614682981221
INF,UNRATE,9,-0.0005663554908597686
INF,UNRATE,10,-0.0012369126746617299
INF,UNRATE,11,-0.0023349938071093018
INF,UNRATE,12,-0.002347653732643624
INF,UNRATE,13,-0.0009792420871299705
INF,UNRATE,14,-0.00044801790513986946
INF,UNRATE,15,-0.0011954267073811815
INF,UNRATE,16,-0.0016182756999275456
INF,UNRATE,17,-0.001295270783077114
INF,UNRATE,18,-0.0009963229510162798
INF,UNRATE,19,-0.00091469784986579
INF,UNRATE,20,-0.0008355596745026873
INF,UNRATE,21,-0.0007214891924124324
INF,UNRATE,22,-0.0006617766832420367
INF,UNRATE,23,-0.0006664953979368179
INF,UNRATE,24,-0.0006806300379795986
INF,INDPRO_GROWTH,0,0.0
INF,INDPRO_GROWTH,1,0.016360177618308845
INF,INDPRO_GROWTH,2,0.045842809513646096
INF,INDPRO_GROWTH,3,0.027283221477296647
INF,INDPRO_GROWTH,4,-0.0012436270144900868
INF,INDPRO_GROWTH,5,0.0010259385811383194
INF,INDPRO_GROWTH,6,0.008053775335394217
INF,INDPRO_GROWTH,7,0.010365744455443807
INF,INDPRO_GROWTH,8,0.004535669662188272
INF,INDPRO_GROWTH,9,0.0019849733503247476
INF,INDPRO_GROWTH,10,0.003345094038947331
INF,INDPRO_GROWTH,11,0.003843952118217285
INF,INDPRO_GROWTH,12,0.002149654891703443
INF,INDPRO_GROWTH,13,0.0010032062700445503
INF,INDPRO_GROWTH,14,0.0009836639388465405
INF,INDPRO_GROWTH,15,0.0012706900874190747
INF,INDPRO_GROWTH,16,0.0012433619957505327
INF,INDPRO_GROWTH,17,0.0010008973615383704
INF,INDPRO_GROWTH,18,0.0009090455831481133
INF,INDPRO_GROWTH,19,0.0009263702767667016
INF,INDPRO_GROWTH,20,0.0008575062771864483
INF,INDPRO_GROWTH,21,0.0007358194395343458
INF,INDPRO_GROWTH,22,0.0006802544635822927
INF,INDPRO_GROWTH,23,0.0007041103556329114
INF,INDPRO_GROWTH,24,0.0007250031556690676
INF,SENTIMENT_CHANGE,0,0.0
INF,SENTIMENT_CHANGE,1,0.001413894515411988
INF,SENTIMENT_CHANGE,2,-0.005777254559896256
INF,SENTIMENT_CHANGE,3,-0.025635376469676358
INF,SENTIMENT_CHANGE,4,-0.022501629911366255
INF,SENTIMENT_CHANGE,5,-0.001552951537463487
INF,SENTIMENT_CHANGE,6,0.011933535243897498
INF,SENTIMENT_CHANGE,7,0.007438860888958483
INF,SENTIMENT_CHANGE,8,0.0028657426097659687
INF,SENTIMENT_CHANGE,9,-0.00023727577448808478
INF,SENTIMENT_CHANGE,10,-0.0030790403921064965
INF,SENTIMENT_CHANGE,11,-0.003881568224370836
INF,SENTIMENT_CHANGE,12,-0.0017061346419403854
INF,SENTIMENT_CHANGE,13,0.0005112260822539188
INF,SENTIMENT_CHANGE,14,0.0014614732195149336
INF,SENTIMENT_CHANGE,15,0.001269090068555076
INF,SENTIMENT_CHANGE,16,0.0004585551152371237
INF,SENTIMENT_CHANGE,17,-0.0003375281439224097
INF,SENTIMENT_CHANGE,18,-0.0005952687230047716
INF,SENTIMENT_CHANGE,19,-0.0004737772606722292
INF,SENTIMENT_CHANGE,20,-0.0002294634032056227
INF,SENTIMENT_CHANGE,21,3.440501720779685e-05
INF,SENTIMENT_CHANGE,22,0.00019086351950323852
INF,SENTIMENT_CHANGE,23,0.00015567258037377918
INF,SENTIMENT_CHANGE,24,2.9705244228308466e-05
FEDFUNDS,INF,0,0.0298483794493652
FEDFUNDS,INF,1,0.03848009896656476
FEDFUNDS,INF,2,0.05834827117853387
FEDFUNDS,INF,3,0.06327882471126275
FEDFUNDS,INF,4,0.054642508472118274
FEDFUNDS,INF,5,0.05696635688549558
FEDFUNDS,INF,6,0.06251665709842841
FEDFUNDS,INF,7,0.06694837826624761
FEDFUNDS,INF,8,0.06852819044931072
FEDFUNDS,INF,9,0.07141132016399195
FEDFUNDS,INF,10,0.07405527927589821
FEDFUNDS,INF,11,0.07555994573127821
FEDFUNDS,INF,12,0.07599011292865007
FEDFUNDS,INF,13,0.07638733623142789
FEDFUNDS,INF,14,0.07710103915376135
FEDFUNDS,INF,15,0.07784135878596565
FEDFUNDS,INF,16,0.07841131270144978
FEDFUNDS,INF,17,0.07876880610381899
FEDFUNDS,INF,18,0.07886906714906514
FEDFUNDS,INF,19,0.07868907989406347
FEDFUNDS,INF,20,0.0783178913412337
FEDFUNDS,INF,21,0.07784307500556872
FEDFUNDS,INF,22,0.07729288741826212
FEDFUNDS,INF,23,0.07666769627220688
FEDFUNDS,INF,24,0.0759455587065105
FEDFUNDS,FEDFUNDS,0,0.1266706095129927
FEDFUNDS,FEDFUNDS,1,0.19594748008519092
FEDFUNDS,FEDFUNDS,2,0.2359553825607226
FEDFUNDS,FEDFUNDS,3,0.2708358510134894
FEDFUNDS,FEDFUNDS,4,0.30535542992827963
FEDFUNDS,FEDFUNDS,5,0.3290060557330424
FEDFUNDS,FEDFUNDS,6,0.3473854549392697
FEDFUNDS,FEDFUNDS,7,0.3657836474758545
FEDFUNDS,FEDFUNDS,8,0.3799851368277381
FEDFUNDS,FEDFUNDS,9,0.38957747477185384
FEDFUNDS,FEDFUNDS,10,0.3953663702219259
FEDFUNDS,FEDFUNDS,11,0.3989157258630815
FEDFUNDS,FEDFUNDS,12,0.4002914613626213
FEDFUNDS,FEDFUNDS,13,0.3994585077043766
FEDFUNDS,FEDFUNDS,14,0.39688662040074324
FEDFUNDS,FEDFUNDS,15,0.39299077186756687
FEDFUNDS,FEDFUNDS,16,0.38793967315814676
FEDFUNDS,FEDFUNDS,17,0.3818295182355954
FEDFUNDS,FEDFUNDS,18,0.3747651028843993
FEDFUNDS,FEDFUNDS,19,0.3668517165562373
FEDFUNDS,FEDFUNDS,20,0.35827537750005783
FEDFUNDS,FEDFUNDS,21,0.349209117578219
FEDFUNDS,FEDFUNDS,22,0.33975967438356375
FEDFUNDS,FEDFUNDS,23,0.33000695481632064
FEDFUNDS,FEDFUNDS,24,0.3200328048306125
FEDFUNDS,UNRATE,0,0.0
FEDFUNDS,UNRATE,1,0.015466423975808974
FEDFUNDS,UNRATE,2,0.03251265338152463
FEDFUNDS,UNRATE,3,0.04251108422767536
FEDFUNDS,UNRATE,4,0.047807357956869335
FEDFUNDS,UNRATE,5,0.05319650709276207
FEDFUNDS,UNRATE,6,0.05539093900852468
FEDFUNDS,UNRATE,7,0.05456439644104012
FEDFUNDS,UNRATE,8,0.05111023259218503
FEDFUNDS,UNRATE,9,0.048427239563917576
FEDFUNDS,UNRATE,10,0.0461359528043488
FEDFUNDS,UNRATE,11,0.04299544666823433
FEDFUNDS,UNRATE,12,0.03920184683209459
FEDFUNDS,UNRATE,13,0.03506204898930829
FEDFUNDS,UNRATE,14,0.030891057548342225
FEDFUNDS,UNRATE,15,0.026634589358057254
FEDFUNDS,UNRATE,16,0.022130559953748238
FEDFUNDS,UNRATE,17,0.01748331935264929
FEDFUNDS,UNRATE,18,0.013015747445437133
FEDFUNDS,UNRATE,19,0.00876037683453467
FEDFUNDS,UNRATE,20,0.004620107740914739
FEDFUNDS,UNRATE,21,0.0006017732924135808
FEDFUNDS,UNRATE,22,-0.0032431721427655497
FEDFUNDS,UNRATE,23,-0.006908055322168034
FEDFUNDS,UNRATE,24,-0.010393914498603848
FEDFUNDS,INDPRO_GROWTH,0,0.0
FEDFUNDS,INDPRO_GROWTH,1,0.02220029951573673
FEDFUNDS,INDPRO_GROWTH,2,0.036421699027719676
FEDFUNDS,INDPRO_GROWTH,3,0.05897017009884492
FEDFUNDS,INDPRO_GROWTH,4,0.07182606159158791
FEDFUNDS,INDPRO_GROWTH,5,0.0821768445888614
FEDFUNDS,INDPRO_GROWTH,6,0.09160818920698144
FEDFUNDS,INDPRO_GROWTH,7,0.10321967987645435
FEDFUNDS,INDPRO_GROWTH,8,0.11435544111281339
FEDFUNDS,INDPRO_GROWTH,9,0.12292150714448605
