shock,response,horizon,value
FEDFUNDS,INF,1,-0.0036037113306065516
FEDFUNDS,INF,2,-0.00046538587044231416
FEDFUNDS,INF,3,0.004526394504080045
FEDFUNDS,INF,4,0.0030301517646309645
FEDFUNDS,INF,5,0.0005118056351257338
FEDFUNDS,INF,6,-0.0007183211516534338
FEDFUNDS,INF,7,0.00044003270008685647
FEDFUNDS,INF,8,0.0011004949443298162
FEDFUNDS,INF,9,0.00033154573878929616
FEDFUNDS,INF,10,0.00021744637911810805
FEDFUNDS,INF,11,0.0002935124211607132
FEDFUNDS,INF,12,0.00013314865628363814
FEDFUNDS,INF,13,4.6234212409762554e-05
FEDFUNDS,INF,14,6.695216025737194e-05
FEDFUNDS,INF,15,6.603026658899558e-05
FEDFUNDS,INF,16,3.482711356767032e-05
FEDFUNDS,INF,17,1.640342692282859e-05
FEDFUNDS,INF,18,1.5278129528617512e-05
FEDFUNDS,INF,19,7.249575153994714e-06
FEDFUNDS,INF,20,-4.142686288205466e-06
FEDFUNDS,INF,21,-7.748203591839697e-06
FEDFUNDS,INF,22,-7.699849019632277e-06
FEDFUNDS,INF,23,-9.957733002413649e-06
FEDFUNDS,INF,24,-1.2341875375104783e-05
FEDFUNDS,UNRATE,1,-0.0033319097673523146
FEDFUNDS,UNRATE,2,-0.017636204065381467
FEDFUNDS,UNRATE,3,-0.015571269520678221
FEDFUNDS,UNRATE,4,-0.018755247831212074
FEDFUNDS,UNRATE,5,-0.02181213665405579
FEDFUNDS,UNRATE,6,-0.016033317629437605
FEDFUNDS,UNRATE,7,-0.015291926290583291
FEDFUNDS,UNRATE,8,-0.015338649440998608
FEDFUNDS,UNRATE,9,-0.014765527391073618
FEDFUNDS,UNRATE,10,-0.014292533583751599
FEDFUNDS,UNRATE,11,-0.01401000349507342
FEDFUNDS,UNRATE,12,-0.013534920142104667
FEDFUNDS,UNRATE,13,-0.012785326157962906
FEDFUNDS,UNRATE,14,-0.012082454504395379
FEDFUNDS,UNRATE,15,-0.011536498269045126
FEDFUNDS,UNRATE,16,-0.010982231986089275
FEDFUNDS,UNRATE,17,-0.01043393706478124
FEDFUNDS,UNRATE,18,-0.009925498395826793
FEDFUNDS,UNRATE,19,-0.009438586588015774
FEDFUNDS,UNRATE,20,-0.008956313378922331
FEDFUNDS,UNRATE,21,-0.008489899363152809
FEDFUNDS,UNRATE,22,-0.008051374269712142
FEDFUNDS,UNRATE,23,-0.0076350462221688176
FEDFUNDS,UNRATE,24,-0.0072360341280832685
FEDFUNDS,INDPRO_GROWTH,1,0.08126787589780338
FEDFUNDS,INDPRO_GROWTH,2,0.012289368967959069
FEDFUNDS,INDPRO_GROWTH,3,0.00027212673266230336
FEDFUNDS,INDPRO_GROWTH,4,0.004286889872578081
FEDFUNDS,INDPRO_GROWTH,5,0.004722115621163536
FEDFUNDS,INDPRO_GROWTH,6,-0.007923168885238252
FEDFUNDS,INDPRO_GROWTH,7,-0.003456589597777837
FEDFUNDS,INDPRO_GROWTH,8,0.0008527122207729887
FEDFUNDS,INDPRO_GROWTH,9,-0.0006000838650793705
FEDFUNDS,INDPRO_GROWTH,10,-0.0026549336148808944
FEDFUNDS,INDPRO_GROWTH,11,-0.0018599947543003204
FEDFUNDS,INDPRO_GROWTH,12,-0.001762151280807478
FEDFUNDS,INDPRO_GROWTH,13,-0.0023471753672588136
FEDFUNDS,INDPRO_GROWTH,14,-0.002364162243430723
FEDFUNDS,INDPRO_GROWTH,15,-0.001966015576738256
FEDFUNDS,INDPRO_GROWTH,16,-0.0018882666356700994
FEDFUNDS,INDPRO_GROWTH,17,-0.0019403526316152941
FEDFUNDS,INDPRO_GROWTH,18,-0.0018562719118828674
FEDFUNDS,INDPRO_GROWTH,19,-0.0017407439782952672
FEDFUNDS,INDPRO_GROWTH,20,-0.0016949895051527886
FEDFUNDS,INDPRO_GROWTH,21,-0.0016391165258007323
FEDFUNDS,INDPRO_GROWTH,22,-0.0015463746874788686
FEDFUNDS,INDPRO_GROWTH,23,-0.0014642676750686867
FEDFUNDS,INDPRO_GROWTH,24,-0.0014005965335035508
FEDFUNDS,M2_GROWTH,1,-0.004651298275129334
FEDFUNDS,M2_GROWTH,2,-0.008153753228027139
FEDFUNDS,M2_GROWTH,3,-0.005128325365634234
FEDFUNDS,M2_GROWTH,4,-0.007318994768548359
FEDFUNDS,M2_GROWTH,5,-0.00011565643639049883
FEDFUNDS,M2_GROWTH,6,-0.0001829639585566034
FEDFUNDS,M2_GROWTH,7,0.0007367758316241813
FEDFUNDS,M2_GROWTH,8,0.0004845341025970229
FEDFUNDS,M2_GROWTH,9,-0.0006096679942875216
FEDFUNDS,M2_GROWTH,10,-0.00046115821035358495
FEDFUNDS,M2_GROWTH,11,-0.00010636314875178687
FEDFUNDS,M2_GROWTH,12,-0.00013911895951879139
FEDFUNDS,M2_GROWTH,13,2.303317784052572e-05
FEDFUNDS,M2_GROWTH,14,0.00010253903547324805
FEDFUNDS,M2_GROWTH,15,6.738166302971971e-05
FEDFUNDS,M2_GROWTH,16,4.015412669367002e-05
FEDFUNDS,M2_GROWTH,17,3.849913686448936e-05
FEDFUNDS,M2_GROWTH,18,3.592177758748871e-05
FEDFUNDS,M2_GROWTH,19,3.6734075677613554e-05
FEDFUNDS,M2_GROWTH,20,3.995281736457468e-05
FEDFUNDS,M2_GROWTH,21,4.066819651071807e-05
FEDFUNDS,M2_GROWTH,22,3.814872674401393e-05
FEDFUNDS,M2_GROWTH,23,3.386750721967591e-05
FEDFUNDS,M2_GROWTH,24,2.9582166117037012e-05
