model,candidate,endogenous_variables,exogenous_variables,lag_order,aic_best_lag,bic_best_lag,hqic_best_lag,fpe_best_lag,aic,bic,hqic,stable,effective_observations,parameters_per_equation,total_parameters,parameter_to_observation_ratio,inflation_RMSE,inflation_MAE,mean_RMSE,mean_MAE,min_ljung_box_p_value,portmanteau_p_value,acf_exceedance_share,min_jarque_bera_p_value,min_arch_lm_p_value,arch_effects_any_equation,normality_rejected_any_equation,selection_score,Acceptable if,selected_diff_robustness_model
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,4,5,1,2,5,-6.009858261583277,-4.8143845128022855,-5.53325777451587,True,335,21,105,0.31343283582089554,0.17699528222902067,0.12579955926615896,1.078039987401198,0.8589704656861471,0.26364312787164984,1.217251365804291e-06,0.06666666666666667,0.0,0.0004782560455718806,True,True,93.81906698032152,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",True
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,6,5,1,2,5,-6.038055750759149,-4.265496934101584,-5.331236377508933,True,333,31,155,0.46546546546546547,0.180930905678982,0.13116477042915975,1.1324666802373191,0.8985942618595356,0.24601000783756116,0.000971105412419905,0.041666666666666664,0.0,0.00046035880305246997,True,True,93.63451612798669,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,8,5,1,2,5,-5.933741615869291,-3.578955310877454,-4.994552896590026,True,331,41,205,0.6193353474320241,0.18106137900889904,0.13080929448825251,1.1782274450296568,0.9378811840132182,0.4078484862158351,0.00024444940211863395,0.041666666666666664,0.0,0.0003678884545777938,True,True,93.61878304494739,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,7,5,1,2,5,-6.0067017739530835,-3.9436767908055903,-5.183968546477157,True,332,36,180,0.5421686746987951,0.18434898380588993,0.13335737231511782,1.1504671133995301,0.9087932573906647,0.2534213946478572,0.02300863187996924,0.041666666666666664,0.0,0.00045687936649028646,True,True,93.51736438764495,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,5,5,1,2,5,-6.073515030214419,-4.590136799415104,-5.4820719064472545,True,334,26,130,0.38922155688622756,0.17715451156709117,0.12768158006680264,1.1232493501157,0.8979872833869333,0.15190983646601194,0.001997945567186734,0.05,0.0,0.00025888314693272354,True,True,93.50836051418065,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,3,5,1,2,5,-6.054219834514658,-5.145383844047228,-5.6919323229687855,True,336,16,80,0.23809523809523808,0.1778197840769255,0.12560722105836208,1.119615263403151,0.8927125297974878,0.1433913830401026,3.2270334202608725e-06,0.075,0.0,0.0001975311873137872,True,True,93.39767465582379,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_full,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, M2_GROWTH, SENTIMENT_CHANGE",none,3,5,1,2,5,-8.186410605783907,-6.89131931936782,-7.670150901831038,True,336,19,114,0.3392857142857143,0.188465185731284,0.12948385541560417,1.0783781969534143,0.8930910716988442,0.1489223884003243,2.8878967508206867e-08,0.08333333333333333,0.0,1.7104829437187812e-17,True,True,93.30399151327562,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_full,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, M2_GROWTH, SENTIMENT_CHANGE",none,5,5,1,2,5,-8.240732926564114,-6.118360996343556,-7.394514303328018,True,334,31,186,0.5568862275449101,0.20447998722937658,0.14707867497085225,1.1726106111699695,0.9783035253841375,0.35360044482191644,3.180953836744865e-05,0.05555555555555555,0.0,2.310200737808273e-15,True,True,93.26854038310522,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",none,2,5,1,2,5,-6.0538983183439585,-5.430442647218203,-5.805398032905504,True,337,11,55,0.1632047477744807,0.17968684889558834,0.12717803947964182,1.1325452132094473,0.9045222993407359,0.043371280784740236,1.7518635036167258e-05,0.075,0.0,9.083694329333911e-07,True,True,93.20589720706256,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_full,"INF, D_FEDFUNDS, UNRATE, INDPRO_GROWTH, M2_GROWTH, SENTIMENT_CHANGE",none,2,5,1,2,5,-8.120216193393436,-7.236042696160545,-7.7677976067716274,True,337,13,78,0.2314540059347181,0.18255919091242284,0.12862167504456717,1.0263198321703226,0.83568157045297,0.014573566942298275,3.8723717987252696e-08,0.10416666666666667,0.0,4.7377176832389404e-18,True,True,93.19027368274996,"stable model, lower RMSE/MAE, limited ACF exceedances, and diagnostic p-values > 0.05 are preferred",False
