shock,response,horizon,value,test,Acceptable if
D_FEDFUNDS,INF,1,0.39184595926712107,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,2,0.22316988494498796,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,3,0.004503602372081472,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,4,-0.0675428500651015,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,5,0.01436475911137737,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,6,-0.022698650225786564,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,7,-0.03452201540481252,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,8,-0.02016654266057495,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,9,-0.020553920669396583,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,10,-0.021671510086841858,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,11,-0.014742369713118111,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,12,-0.011133072972208863,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,13,-0.00960190208204989,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,14,-0.008655367798233615,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
